State,City,Vulnerability Management,Vulnerability Analyst,Vulnerability Specialist,Incident Specialist,Incident Responder,Incident Analyst,Malware analyst,Reverse engineer,Threat analyst,Identity and access management specialist,SOC analyst,SOC engineer,Application specialist,Application engineer,Application Support,Server administrator,PEN tester,Systems investigator,City Total,State Total
District of Columbia,Washington,433,77,17,0,10,45,0,43,6,172,57,8,36,0,132,16,465,0,1517,1517
Maryland,Rockville,438,82,10,0,10,34,0,38,7,171,58,8,37,0,117,16,465,0,1491,5115
Maryland,Gaithersburg,441,79,15,0,10,30,0,36,7,163,58,8,34,0,95,15,447,0,1438,3506
Virginia,Alexandria,403,67,17,0,9,41,0,22,6,146,57,8,29,0,123,11,414,0,1353,1353
Virginia,Leesburg,211,30,11,0,471,11,0,7,5,78,32,4,14,0,38,6,187,0,1105,3365
Maryland,Bowie,356,73,10,0,10,25,0,42,4,122,30,5,27,0,66,12,316,0,1098,1928
California,Redwood City,222,251,21,0,232,6,0,2,2,17,1,1,3,0,6,114,159,0,1037,58846
California,Hayward,238,226,18,0,231,6,0,2,2,19,1,1,3,0,7,116,159,0,1029,28961
California,Alameda,161,72,16,0,173,3,0,1,2,11,1,128,256,0,4,82,117,0,1027,1027
New Jersey,Linden,363,45,27,0,318,4,0,66,3,15,9,25,10,0,8,2,112,3,1010,6891
California,San Leandro,175,107,16,0,187,3,0,1,2,18,1,246,2,0,5,94,129,0,986,65768
New Jersey,Perth Amboy,336,45,26,0,303,5,0,63,3,15,10,29,10,0,8,2,109,3,967,10208
California,South San Francisco,143,63,16,0,152,3,0,1,2,9,1,145,225,0,1,78,108,0,947,72760
Virginia,Manassas,228,43,15,0,9,28,0,16,5,114,35,6,16,0,108,6,285,0,914,4388
California,Union City,200,235,16,0,191,6,0,2,2,15,1,1,3,0,6,94,137,0,909,77095
California,Oakland,136,63,16,0,145,3,0,1,2,11,1,123,225,0,4,71,105,0,906,47584
New Jersey,Plainfield,319,44,24,0,259,4,0,54,3,15,9,30,10,0,4,2,104,3,884,11092
California,Pacifica,139,56,12,0,147,3,0,1,2,7,1,113,213,0,1,75,104,0,874,49785
California,San Mateo,186,176,16,0,206,3,0,2,2,17,1,1,2,0,6,104,138,0,860,66843
New York,Valley Stream,309,29,25,0,277,3,0,52,3,13,8,21,5,0,7,2,86,3,843,5467
Texas,San Antonio,33,591,1,0,55,33,0,9,0,19,3,8,1,0,1,58,30,0,842,21578
New York,Hempstead,300,31,25,0,283,3,0,51,3,13,8,0,5,0,7,2,90,3,824,1905
California,Newark,178,243,15,0,153,4,0,2,2,15,1,1,3,0,5,82,107,0,811,45188
California,Fremont,172,241,13,0,150,4,0,2,2,14,1,1,3,0,5,81,102,0,791,24123
California,Berkeley,125,42,11,0,133,3,0,1,2,11,1,89,199,0,4,63,91,0,775,6747
California,Danville,129,48,15,0,129,3,0,1,2,12,1,89,194,0,4,55,90,0,772,18655
New York,Freeport,282,28,24,0,250,3,0,50,3,12,8,19,5,0,7,2,73,3,769,1081
California,Daly City,115,48,12,0,119,3,0,1,2,7,1,108,184,0,1,64,94,0,759,17883
California,Paramount,244,44,85,1,166,38,0,1,2,10,22,1,9,0,3,71,61,0,758,52194
California,Palo Alto,155,240,12,0,143,4,0,2,2,13,1,1,3,0,4,78,99,0,757,51436
California,San Francisco,122,35,12,0,125,3,0,1,2,11,1,94,192,0,3,63,93,0,757,63291
California,Milpitas,159,238,10,0,143,4,0,2,2,14,1,1,3,0,5,74,97,0,753,40434
California,Downey,236,37,84,1,152,37,0,1,2,10,21,38,8,0,3,68,53,0,751,20044
California,San Bruno,144,70,16,0,158,3,0,1,2,11,1,149,1,0,1,81,108,0,746,62057
California,Mountain View,151,238,10,0,141,4,0,2,2,10,1,1,3,0,4,75,97,0,739,43891
California,Walnut Creek,115,37,10,0,115,2,0,21,2,11,24,78,187,0,4,49,82,0,737,79173
California,Compton,231,36,83,1,147,36,0,1,2,10,20,35,6,0,3,68,53,0,732,13896
California,Santa Clara,148,236,10,0,138,4,0,2,2,10,1,1,3,0,4,73,97,0,729,69265
California,Pleasanton,162,203,12,0,145,4,0,1,2,13,1,1,3,0,6,74,100,0,727,55370
California,Sunnyvale,145,236,10,0,139,4,0,2,2,10,1,1,3,0,4,73,97,0,727,74155
California,Pico Rivera,220,35,75,1,143,38,0,1,2,10,20,37,8,0,3,68,52,0,713,53578
New Jersey,East Orange,379,42,26,0,2,5,0,63,3,19,9,29,10,0,7,2,113,3,712,2490
New Jersey,Newark,380,41,25,0,2,5,0,63,3,19,9,28,10,0,7,2,113,3,710,7886
California,Bell Gardens,219,35,74,1,143,36,0,1,2,10,20,35,6,0,3,68,53,0,706,5374
California,Carson,223,35,82,1,136,33,0,1,2,10,20,35,6,0,2,64,50,0,700,10463
Washington,Seattle,113,66,3,0,123,1,0,2,1,15,3,83,194,0,5,42,49,0,700,9449
California,San Ramon,139,77,15,0,142,3,0,1,2,12,1,136,1,0,4,65,101,0,699,68046
New Jersey,Kearny,371,41,25,0,2,5,0,63,3,19,9,28,9,0,7,2,109,3,696,5881
New Jersey,Bayonne,365,39,26,0,2,5,0,66,3,19,9,26,10,0,8,2,112,3,695,763
New Jersey,Jersey City,371,40,25,0,2,5,0,64,3,19,9,28,9,0,8,2,107,3,695,5185
Washington,Kirkland,112,67,4,0,119,1,0,13,1,15,3,83,188,0,5,37,47,0,695,5458
California,Cupertino,139,231,10,0,128,4,0,2,2,10,1,1,3,0,3,71,88,0,693,16522
