State,Population,Quotient,Total Jobs
District of Columbia,703608,463.815425181279,1517
California,39776830,484.486547057892,82101
Massachusetts,6895917,520.368019921521,13252
Rhode Island,1061712,568.368308351178,1868
Utah,3159345,574.635321935249,5498
Minnesota,5628162,622.377750746434,9043
New Jersey,9032872,687.642509135201,13136
Washington,7530552,689.484709760117,10922
Illinois,12768320,736.138368405881,17345
Colorado,5684203,807.071276444697,7043
Iowa,3160553,960.07077764277,3292
Arizona,7123898,1097.67303543914,6490
Maryland,6079602,1188.58299120235,5115
Texas,28704330,1194.17273370221,24037
Michigan,9991177,1235.15601434046,8089
Florida,21312211,1324.06877485089,16096
Virginia,8525660,1547.02594810379,5511
Connecticut,3588683,1585.10733215548,2264
Nebraska,1932549,1632.22043918919,1184
Ohio,11694664,1769.23812405446,6610
Indiana,6699629,1773.79639925867,3777
Georgia,10545138,1782.47768762678,5916
North Dakota,755238,1941.48586118252,389
Wisconsin,5818049,1943.23613894456,2994
Oregon,4199563,1966.08754681648,2136
Kansas,2918515,2055.29225352113,1420
North Carolina,10390149,2129.56527977044,4879
Delaware,971180,2301.37440758294,422
Tennessee,6782564,2384.0295254833,2845
Idaho,1753860,2435.91666666667,720
Missouri,6135888,2505.46672111066,2449
Montana,1062330,2610.14742014742,407
New Mexico,2090708,2704.66752910737,773
Louisiana,4682509,3026.83193277311,1547
Alabama,4888949,3076.74575204531,1589
New York,19862512,3087.59707756879,6433
New Hampshire,1350575,3104.77011494253,435
South Carolina,5088916,3114.39167686658,1634
Mississippi,2982785,3321.5868596882,898
South Dakota,877790,3402.28682170543,258
Oklahoma,3940521,3447.5249343832,1143
Wyoming,573720,3608.30188679245,159
Alaska,738068,4011.23913043478,184
West Virginia,1803077,4599.6862244898,392
Kentucky,4472265,4692.82791185729,953
Nevada,3056824,4776.2875,640
Maine,1341582,4825.8345323741,278
Arkansas,3020327,4927.12398042414,613
Vermont,623960,6117.25490196078,102
Pennsylvania,12823989,8664.85743243243,1480
Hawaii,1426393,13456.5377358491,106
