State,City,School_Name,URL,Fee_Reg_New,Fee_Reg_Ret,Fee_Early,Fee_Normal,Fee_Book,Fee_Other,Tuition_K,Tuition_1,Tuition_1_5,Tuition_L,Tuition_6_8,Tuition_7_8,Tuition_9_12,Tuition_U,Tuition_Fee_Now,Tuition_Fee_7_Kids
OH,Cincinnati,0,,,,,,,,,,,,,,,,,
AK,Chugiak,0,,,,,,,,,,,,,,,,,
AK,Fairbanks,0,,,,,,,,,,,,,,,,18,
OR,Eugene,Veritas Classical Christian School,vccseugene.com,,,,,,,,,,,,,,,,
OR,Oregon City,"St. Stephen’s Academy (Beaverton and Lake Oswego, OR)",ststephensacademy.com,,,,,,,4300,,7650,,8200,,8950,,,
,,"Cedar Tree Classical Christian School (Ridgefield, WA)",cedartreeschool.org,100,100,,,,,3528,5056.8,,6232.8,,,,6585.6,16003.6,41986.2
,,"Veritas School (Newburg, OR)",veritasschool.net,,,,,,,3311,,,8294,,8900,9506,,,
,,"Paideia Classical Christian School (Gladstone, OR)",paideiaclassicalchristian.com,,,125,200,,,3100,,,3100,,,,3100,,
OR,Rogue River,0,,,,,,,,,,,,,,,,,
WA,Bothell,0,,,,,,,,,,,,,,,,,
WA,Kirkland,0,,,,,,,,,,,,,,,,,
WA,Lynnwood,0,,,,,,,,,,,,,,,,,
AL,Branchville,0,,,,,,,,,,,,,,,,,
AL,Huntsville,0,,,,,,,,,,,,,,,,,
AL,Birmingham,0,,,,,,,,,,,,,,,,,
FL,Live Oak,1,,,,,,,,,,,,,,,,,
FL,Pace,1,,,,,,,,,,,,,,,,,
FL,Pensacola,0,,,,,,,,,,,,,,,,,
FL,Valparaiso,0,,,,,,,,,,,,,,,,,
FL,Lakeland,0,,,,,,,,,,,,,,,,,
GA,Rome,0,,,,,,,,,,,,,,,,,
LA,Baton Rouge,1,,,,,,,,,,,,,,,,,
MS,Clinton,1,,,,,,,,,,,,,,,,,
SC,Greenville,1,,,,,,,,,,,,,,,,,
SC,North Augusta,1,,,,,,,,,,,,,,,,,
TN,Nashville,0,,,,,,,,,,,,,,,,,
MD,Annapolis,0,,,,,,,,,,,,,,,,,
NH,Somersworth,1,,,,,,,,,,,,,,,,,
NY,Brooklyn,0,,,,,,,,,,,,,,,,,
NY,Copiague,0,,,,,,,,,,,,,,,,,
NY,Troy,0,,,,,,,,,,,,,,,,,
NC,Raleigh,1,,,,,,,,,,,,,,,,,
NC,Concord,0,,,,,,,,,,,,,,,,,
PA,Akron,1,,,,,,,,,,,,,,,,,
PA,Shippensburg,1,,,,,,,,,,,,,,,,,
TN,Knoxville,0,,,,,,,,,,,,,,,,,
VA,Lynchburg,1,,,,,,,,,,,,,,,,,
VA,Newport News,0,,,,,,,,,,,,,,,,,
TN,Bristol,0,,,,,,,,,,,,,,,,,
VA,Abingdon,1,,,,,,,,,,,,,,,,,
WV,Morgantown,0,,,,,,,,,,,,,,,,,
CA,Sacramento,0,,,,,,,,,,,,,,,,,
CA,Pleasanton,0,,,,,,,,,,,,,,,,,
CA,Santa Clarita,0,,,,,,,,,,,,,,,,,
CA,Santa Cruz,0,,,,,,,,,,,,,,,,,
CO,Grand Junction,0,,,,,,,,,,,,,,,,,
CO,Steamboat Springs,0,,,,,,,,,,,,,,,,,
ID,Moscow,0,,,,,,,,,,,,,,,,,
ID,Meridian,0,,,,,,,,,,,,,,,,,
ID,Coeur d’Alene,0,,,,,,,,,,,,,,,,,
ID,Lewiston,0,,,,,,,,,,,,,,,,,
MT,Billings,0,,,,,,,,,,,,,,,,,
MT,Helena,0,,,,,,,,,,,,,,,,,
OR,Enterprise,0,,,,,,,,,,,,,,,,,
WA,Colville,1,,,,,,,,,,,,,,,,,
WA,Spokane,0,,,,,,,,,,,,,,,,,
WA,Wenatchee,The River Academy,theriveracademy.org,125,100,,,240,,4528,,,7055,,,,7055,19136,31841
IL,Carbondale,0,,,,,,,,,,,,,,,,,
IL,Plainfield,1,,,,,,,,,,,,,,,,,
IN,Fort Wayne,1,,,,,,,,,,,,,,,,,
IA,Pella,0,,,,,,,,,,,,,,,,,
KS,Wichita,0,,,,,,,,,,,,,,,,,
MI,Hartland,0,,,,,,,,,,,,,,,,,
MI,Ferry,0,,,,,,,,,,,,,,,,,
MI,Caro,0,,,,,,,,,,,,,,,,,
MN,Excelsior,0,,,,,,,,,,,,,,,,,
MO,Springfield,0,,,,,,,,,,,,,,,,,
AR,Texarkana,0,,,,,,,,,,,,,,,,,
AR,Searcy,0,,,,,,,,,,,,,,,,,
AR,Walnut Ridge,0,,,,,,,,,,,,,,,,,
LA,Monroe,0,,,,,,,,,,,,,,,,,
LA,Sulphur,1,,,,,,,,,,,,,,,,,
TX,Houston,0,,,,,,,,,,,,,,,,,
TX,Nacogdoches,1,,,,,,,,,,,,,,,,,
TX,San Antonio,0,,,,,,,,,,,,,,,,,
TX,Fort Worth,0,,,,,,,,,,,,,,,,,
WV,Martinsburg,0,,,,,,,,,,,,,,,,,
ME,Oakland,1,,,,,,,,,,,,,,,,,
NM,Santa Fe,1,,,,,,,,,,,,,,,,,
CO,Colorado Springs,1,,,,,,,,,,,,,,,,,
CO,Amarillo,1,,,,,,,,,,,,,,,,,
